Independent_Variable,Dependent_Variable,Correlation,P_Value,Sample_Size
FAS_total_raw_x,Right-Inf-Lat-Vent,-0.12387983717893084,0.02293897523504474,337
FAS_total_T_x,CC_Posterior,0.12454654152348213,0.023440108083819328,331
Edu_x,pericalcarine_rh,0.11638597226773534,0.023635480269113145,378
Edu_x,Right-Caudate,0.11438480289119882,0.02615967934024481,378
BNT_totalwstim_raw_x,CC_Central,0.12099613097065026,0.026343710893243402,337
FAS_total_raw_x,CSF,-0.12082337046064379,0.02656081491976691,337
FAS_total_T_x,Right-Pallidum,0.12181549538196412,0.02668370782109721,331
FAS_total_raw_x,Left-choroid-plexus,-0.12045194979862979,0.027032785348753648,337
Edu_x,middletemporal_rh,0.1132200826502231,0.02773309177769699,378
FAS_total_raw_x,frontalpole,0.11801334446006266,0.030314114413918482,337
Animals_raw_x,temporalpole,0.11636311708942712,0.03324833270965323,335
BNT_totalwstim_raw_x,CC_Mid_Anterior,0.11596220523407288,0.03333230062863546,337
Animals_T_x,paracentral_rh,0.11738891059291523,0.033566570307785905,328
BNT_totalwstim_T_x,paracentral_rh,0.11640296998493008,0.03426356051529592,331
FAS_total_T_x,lateraloccipital,0.115469843942797,0.0357401812373985,331
Age_x,Right-Pallidum,-0.10622511767843613,0.03746295372208535,384
Animals_T_x,Left-Cerebellum-White-Matter,0.11249116255805544,0.041751317177653846,328
BNT_totalwstim_T_x,postcentral,0.11196489923880103,0.04177829425317717,331
Edu_x,caudalanteriorcingulate_rh,0.10447780139149898,0.04234514302549675,378
Edu_x,caudalanteriorcingulate,0.1040563658744664,0.043188919989637635,378
BNT_totalwstim_T_x,CC_Central,0.11089811708710283,0.04377857358388436,331
FAS_total_T_x,cuneus,0.11083461799904676,0.043900134399819185,331
